Protein	Organism_Name	Length	Host	Tissue_Specimen_Source	Geo_Location	Species
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens	cervix	Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
E6	Human papillomavirus 16	133	Homo sapiens		Cuba	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	201	Homo sapiens		Brazil	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	208	Homo sapiens		Brazil	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	211	Homo sapiens		Brazil	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	211	Homo sapiens		Brazil	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	211	Homo sapiens		Brazil	Alphapapillomavirus 9
major capsid protein L1	Human papillomavirus 16	209	Homo sapiens		Brazil	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	84	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	357	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
L2	Human papillomavirus 16	473	Homo sapiens		Latvia	Alphapapillomavirus 9
L1	Human papillomavirus 16	505	Homo sapiens		Latvia	Alphapapillomavirus 9
E6	Human papillomavirus 16	158	Homo sapiens		Latvia	Alphapapillomavirus 9
E7	Human papillomavirus 16	98	Homo sapiens		Latvia	Alphapapillomavirus 9
E1^E4	Human papillomavirus 16	92	Homo sapiens		Latvia	Alphapapillomavirus 9
E1	Human papillomavirus 16	649	Homo sapiens		Latvia	Alphapapillomavirus 9
E2	Human papillomavirus 16	365	Homo sapiens		Latvia	Alphapapillomavirus 9
E5	Human papillomavirus 16	83	Homo sapiens		Latvia	Alphapapillomavirus 9
